Shetland Sheepdogs                      24   24   23   21
Shiba Inu                               45   44   45   47
Shih Tzu                                20   20   19   17
Siberian Huskies                        12   12   12   13
Silky Terriers                         106  100  102  101
Skye Terriers                          172  178  175  177
Sloughis                               188  185          
Soft Coated Wheaten Terriers            49   50   47   49
Spaniels (American Water)              167  156  157  160
Spaniels (Boykin)                      98   110  107  108
Spaniels (Clumber)                     140  144  134  143
Spaniels (Cocker)                       29   29   30   30
Spaniels (English Cocker)               52   56   60   62
Spaniels (English Springer)             27   26   27   28
Spaniels (Field)                       145  147  145  137
Spaniels (Irish Water)                 164  150  144  152
Spaniels (Sussex)                      161  172  173  175
Spaniels (Welsh Springer)              133  123  128  133
Spanish Water Dogs                     148  162  167  113
Spinoni Italiani                       111  105  112  118
St. Bernards                            48   49   50   51
Staffordshire Bull Terriers             82   82   79   79
Standard Schnauzers                     90   85   91   90
Swedish Vallhunds                      149  163  155  158
Tibetan Mastiffs                       153  135  133  135
Tibetan Spaniels                       121  118  115  122
Tibetan Terriers                       101   91   90   88
Toy Fox Terriers                       112  116  110  115
Treeing Walker Coonhounds              131  137  117  112
Vizslas                                 30   31   32   34
Weimaraners                             34   34   34   35
Welsh Terriers                         109  111  108  106
West Highland White Terriers            42   41   41   38
Whippets                                61   60   57   56
Wirehaired Pointing Griffons            65   66   66   76
Wirehaired Vizslas                     155  157  156  107
Xoloitzcuintli                         143  139  135  142
Yorkshire Terriers                       9    9    7    6
